chore_difficulty,zain_pts,jasmine_pts,justin_pts,chloe_pts,assigned_to
90.0,0.0,0.0,0.0,0.0,3
20.0,90.0,0.0,0.0,0.0,1
20.0,90.0,20.0,0.0,0.0,2
30.0,90.0,20.0,20.0,0.0,0
70.0,90.0,20.0,20.0,30.0,1
30.0,90.0,90.0,20.0,30.0,2
60.0,90.0,90.0,50.0,30.0,0
10.0,90.0,90.0,50.0,90.0,2
20.0,90.0,90.0,60.0,90.0,2
60.0,90.0,90.0,80.0,90.0,2
90.0,90.0,90.0,140.0,90.0,3
10.0,180.0,90.0,140.0,90.0,1
90.0,180.0,100.0,140.0,90.0,0
70.0,180.0,100.0,140.0,180.0,1
30.0,180.0,170.0,140.0,180.0,2
70.0,180.0,170.0,260.3263157894737,180.0,1
10.0,180.0,240.0,170.0,180.0,2
90.0,180.0,240.0,180.0,180.0,3
50.0,270.0,240.0,180.0,180.0,2
90.0,270.0,240.0,230.0,180.0,0
30.0,270.0,240.0,230.0,270.0,2
80.0,270.0,240.0,260.0,270.0,1
60.0,270.0,320.0,260.0,270.0,2
40.0,270.0,320.0,320.0,270.0,3
30.0,310.0,320.0,320.0,270.0,0
40.0,310.0,320.0,320.0,300.0,0
60.0,310.0,320.0,320.0,340.0,3
100.0,370.0,320.0,320.0,340.0,1
50.0,370.0,420.0,260.3263157894737,340.0,2
20.0,370.0,420.0,370.0,340.0,0
60.0,370.0,420.0,370.0,360.0,0
90.0,370.0,420.0,370.0,420.0,3
80.0,460.0,420.0,370.0,420.0,2
20.0,460.0,420.0,450.0,420.0,1
70.0,460.0,440.0,450.0,420.0,0
90.0,460.0,440.0,450.0,490.0,1
55.14473684210526,460.0,530.0,260.3263157894737,490.0,2
100.0,460.0,530.0,510.0,490.0,3
50.0,560.0,530.0,510.0,490.0,0
100.0,560.0,530.0,510.0,540.0,2
50.0,560.0,530.0,610.0,540.0,1
80.0,560.0,580.0,610.0,540.0,0
80.0,560.0,580.0,610.0,620.0,3
100.0,640.0,580.0,610.0,620.0,1
60.0,640.0,680.0,610.0,620.0,2
60.0,640.0,680.0,670.0,620.0,0
90.0,640.0,680.0,260.3263157894737,680.0,3
70.0,730.0,680.0,670.0,680.0,2
70.0,0.0,0.0,0.0,0.0,3
80.0,70.0,0.0,0.0,0.0,1
10.0,0.0,0.0,0.0,0.0,3
10.0,10.0,0.0,0.0,0.0,1
60.0,10.0,10.0,0.0,0.0,2
50.0,10.0,10.0,60.0,0.0,0
100.0,10.0,10.0,60.0,50.0,3
10.0,110.0,10.0,60.0,50.0,1
20.0,110.0,20.0,60.0,50.0,1
55.14473684210526,110.0,40.0,60.0,50.0,1
80.0,110.0,140.0,60.0,50.0,0
